????;??????? ???? (???? ????????);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AXA;Accor;Air Liquide;Airbus;ArcelorMittal;BNP Paribas;Bouygues;Bureau Veritas;Capgemini;Carrefour;Compagnie De St-Gobain;Credit Agricole SA;Danone;Dassault Systemes;ESSILORLUXOTTICA;Edenred;Engie;Eurofins Scientific;Hermes International;Kering;L'Oreal;LVMH Moet Hennessy Louis Vuitton;Legrand;Michelin;Orange;Pernod Ricard;Publicis Groupe;Renault;Safran S.A.;Sanofi;STMicroelectronics;Schneider Electric;Societe Generale;Stellantis;Teleperformance;Thales;TotalEnergies;Unibail-Rodamco-Westfield N.V.;VINCI SA;Veolia Environnement
29.12.2023;29,49;34,60;176,12;139,78;25,68;62,59;34,12;22,87;188,75;16,57;66,66;12,85;58,68;44,24;181,60;54,14;15,92;58,98;1 918,80;399,00;450,65;733,60;94,10;32,46;10,30;159,75;84,00;36,91;159,46;89,76;45,25;181,78;24,03;21,15;132,05;133,95;61,60;66,92;113,70;28,56
28.12.2023;29,43;34,56;176,20;139,68;25,90;62,45;34,22;22,85;189,80;16,57;66,39;12,86;58,51;44,26;180,96;54,06;15,96;59,16;1 910,80;398,25;451,30;731,00;94,20;32,36;10,31;160,30;84,00;37,15;159,62;89,26;45,51;181,36;24,04;21,18;134,10;134,10;61,41;67,26;113,56;28,65
27.12.2023;29,58;34,69;176,82;139,42;25,96;62,99;34,32;22,76;191,10;16,62;66,70;12,91;58,41;44,78;181,20;54,44;16,17;58,92;1 929,60;402,80;448,70;735,40;94,62;32,35;10,38;161,30;84,50;37,49;159,96;89,17;45,67;181,90;24,31;21,24;133,10;134,30;62,47;67,70;114,44;28,72
22.12.2023;29,64;34,74;177,36;139,44;26,09;63,01;34,30;22,60;188,45;16,62;66,63;12,85;58,32;44,64;181,74;54,50;16,16;59,06;1 941,20;397,80;447,55;737,70;94,60;32,41;10,47;160,80;84,46;37,69;159,84;89,34;45,52;180,96;24,08;21,21;133,35;134,40;62,30;67,16;114,38;29,06
21.12.2023;29,53;34,68;176,74;138,52;25,95;62,88;34,39;22,56;189,10;16,56;66,11;12,80;58,30;44,68;181,26;54,88;16,24;58,92;1 992,20;401,65;448,20;743,40;95,16;32,52;10,45;160,80;84,32;38,07;159,34;88,96;45,53;180,44;24,04;21,23;136,05;134,95;62,00;67,76;113,64;29,08
20.12.2023;29,38;34,68;177,46;137,88;26,20;62,86;34,37;22,54;190,05;16,71;66,37;12,87;58,12;44,73;181,74;55,06;16,22;59,24;1 999,00;406,45;449,25;746,90;94,86;32,45;10,46;161,65;84,42;38,56;158,12;89,17;45,84;181,02;24,05;21,22;130,85;133,85;62,15;68,64;113,62;29,27
19.12.2023;29,33;34,80;176,52;139,88;26,18;62,29;34,21;22,34;191,00;16,54;65,62;12,78;57,88;44,39;183,18;54,20;16,05;58,60;1 996,60;405,95;450,75;745,50;94,50;32,16;10,38;162,10;83,46;39,17;160,20;88,93;45,82;180,44;23,97;21,29;129,00;134,80;61,99;67,86;113,30;29,28
18.12.2023;29,11;34,58;175,98;139,18;26,28;62,39;34,45;22,16;192,45;16,23;65,02;12,83;58,27;44,19;183,76;53,80;16,09;57,08;1 996,80;407,35;447,45;741,80;96,18;32,17;10,45;162,05;82,88;39,21;160,76;88,61;45,51;181,02;24,19;21,50;124,60;135,30;62,35;66,80;112,96;29,04
15.12.2023;29,17;34,65;175,98;139,52;24,96;63,09;35,50;22,28;195,90;16,29;66,61;12,93;57,98;44,29;185,24;53,90;16,21;58,00;2 023,50;417,85;446,55;748,40;96,90;32,26;10,56;163,05;83,40;39,28;160,16;87,70;46,82;181,14;24,43;21,53;122,65;134,90;61,63;66,50;115,58;29,73
14.12.2023;29,26;34,95;175,10;140,06;24,73;62,88;35,69;22,54;193,15;16,31;66,10;12,90;58,20;43,82;185,08;53,84;16,27;57,70;2 017,00;427,05;443,55;746,80;96,50;32,04;10,67;162,65;82,06;39,05;160,78;88,02;45,60;179,00;24,49;21,25;121,90;134,55;61,41;66,32;116,02;29,90
13.12.2023;29,76;34,61;179,04;142,30;23,99;60,31;35,82;21,96;191,90;16,12;62,57;12,60;59,31;44,42;185,42;53,22;16,16;54,40;2 027,00;409,00;445,45;734,50;94,46;31,72;10,80;155,70;81,62;36,69;165,72;88,54;44,27;176,56;23,66;20,91;116,35;138,70;61,36;62,86;114,78;29,13
12.12.2023;30,07;35,24;178,30;142,68;23,97;60,82;35,97;21,72;193,05;17,04;63,01;12,66;59,55;44,84;183,56;53,12;15,99;54,46;2 009,50;410,45;444,70;733,60;94,80;31,88;11,16;155,95;82,40;37,62;167,48;87,87;44,54;176,96;23,71;20,98;117,60;137,45;61,31;62,64;115,40;29,17
11.12.2023;30,06;34,98;176,62;142,30;23,74;61,18;36,19;21,44;192,90;17,30;62,47;12,65;59,48;44,40;183,22;53,46;16,13;54,72;1 997,80;409,50;443,85;740,00;94,94;32,20;11,10;157,05;81,30;38,00;165,48;87,80;44,50;176,56;23,82;21,01;117,80;137,40;61,97;63,78;116,10;29,39
